run,task,labels,model,accuracy,macro_f1,auc
outputs_smoke_min,ai_subsource_attribution,ADM|BigGAN,random_forest,0.9166666666666666,0.916083916083916,1.0
outputs_smoke_stable_freq_min,binary_ai_vs_nature,ai|nature,lightgbm,0.9166666666666666,0.9165217391304348,0.9722222222222222
outputs_smoke_stable_freq_min,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9166666666666666,0.9115384615384616,
outputs_v2_20pct_best,binary_ai_vs_nature,ai|nature,lightgbm,0.9910416666666668,0.9910416526692488,0.9995250868055556
outputs_v2_20pct_best,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9972916666666668,0.9972899840698772,
outputs_v2_20pct_best_mild_aug,binary_ai_vs_nature,ai|nature,lightgbm,0.9846875,0.9846865653421228,0.9986875434027778
outputs_v2_20pct_fusion_flat_seed123,binary_ai_vs_nature,ai|nature,lightgbm,0.9891666666666666,0.9891666549117348,0.9994598090277778
outputs_v2_20pct_fusion_flat_seed123,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9970833333333332,0.997080703185736,
outputs_v2_50pct_best,binary_ai_vs_nature,ai|nature,lightgbm,0.991125,0.9911249996148004,0.9995574097222224
outputs_v2_50pct_best,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9984166666666666,0.9984164142285988,
outputs_v2_5pct_block_dct_flat,binary_ai_vs_nature,ai|nature,lightgbm,0.93625,0.9362460043068672,0.9850909722222224
outputs_v2_5pct_block_dct_flat,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9766666666666668,0.9766393911492632,
outputs_v2_5pct_color_freq_flat,binary_ai_vs_nature,ai|nature,lightgbm,0.9833333333333332,0.9833333333333332,0.9983520833333334
outputs_v2_5pct_color_freq_flat,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9941666666666666,0.9941610740119337,
outputs_v2_5pct_fusion_freq_binary_expert_ensemble,binary_ai_vs_nature,ai|nature,lightgbm_binary_expert_ensemble,0.9925,0.9924999791666088,0.9993097222222224
